time,distance_m,RSSI_dBm,SNR_dB,P_LoRa_raw,P_LoRa_ema,trend,w1_rssi,w2_snr,w3_dist,P_LOW_eff,P_HIGH_eff,state,state_label
237,3059.6,-116.54,-10.35,0.2533,0.2609,-0.0032,0.339,0.269,0.392,0.302,0.701,2,STARLINK
238,2890.43,-111.84,-5.37,0.3303,0.2817,0.0208,0.342,0.271,0.387,0.29,0.694,2,STARLINK
239,3075.29,-117.17,-8.88,0.2628,0.276,-0.0057,0.338,0.269,0.392,0.303,0.702,2,STARLINK
240,2785.94,-112.0,-6.81,0.3239,0.2904,0.0144,0.344,0.272,0.384,0.293,0.696,2,STARLINK
241,2844.69,-118.09,-5.72,0.3036,0.2943,0.004,0.343,0.272,0.385,0.298,0.699,2,STARLINK
242,2894.42,-113.28,-9.61,0.2855,0.2917,-0.0026,0.342,0.271,0.387,0.301,0.701,2,STARLINK
243,2904.98,-110.58,-6.67,0.3229,0.3011,0.0094,0.342,0.271,0.387,0.295,0.697,2,STARLINK
244,2551.22,-120.0,-4.97,0.3219,0.3073,0.0062,0.349,0.274,0.377,0.297,0.698,2,STARLINK
245,2636.94,-116.38,-4.84,0.3332,0.3151,0.0078,0.347,0.274,0.379,0.296,0.698,2,STARLINK
246,2571.42,-112.02,-4.85,0.3564,0.3275,0.0124,0.349,0.274,0.377,0.294,0.696,2,STARLINK
247,2499.92,-114.1,-0.09,0.3958,0.348,0.0205,0.35,0.275,0.375,0.29,0.694,2,STARLINK
248,2817.71,-113.5,-8.18,0.3028,0.3344,-0.0135,0.344,0.272,0.385,0.307,0.704,2,STARLINK
249,2568.33,-115.56,-6.47,0.3264,0.332,-0.0024,0.349,0.274,0.377,0.301,0.701,2,STARLINK
250,2272.86,-112.34,-4.88,0.3745,0.3448,0.0127,0.355,0.277,0.368,0.294,0.696,2,STARLINK
251,2553.81,-114.16,-6.43,0.3338,0.3415,-0.0033,0.349,0.274,0.377,0.302,0.701,2,STARLINK
252,2688.33,-110.67,-7.4,0.331,0.3384,-0.0031,0.346,0.273,0.381,0.302,0.701,2,STARLINK
253,2478.49,-112.65,-2.49,0.3816,0.3513,0.013,0.35,0.275,0.374,0.294,0.696,2,STARLINK
254,2049.07,-110.61,0.55,0.4469,0.38,0.0287,0.359,0.28,0.361,0.286,0.691,2,STARLINK
255,2157.44,-113.34,-4.09,0.3847,0.3814,0.0014,0.357,0.278,0.365,0.299,0.7,2,STARLINK
256,2372.97,-114.46,-5.9,0.3492,0.3718,-0.0097,0.353,0.276,0.371,0.305,0.703,2,STARLINK
257,2029.4,-112.83,-1.23,0.4216,0.3867,0.0149,0.359,0.28,0.361,0.293,0.696,2,STARLINK
258,2154.5,-110.91,-4.03,0.3963,0.3896,0.0029,0.357,0.278,0.365,0.299,0.699,2,STARLINK
259,2156.28,-113.37,-1.67,0.4071,0.3948,0.0053,0.357,0.278,0.365,0.297,0.698,2,STARLINK
260,1852.97,-109.81,-0.71,0.451,0.4117,0.0168,0.363,0.281,0.356,0.292,0.695,2,STARLINK
261,1934.78,-104.86,-4.64,0.4316,0.4177,0.006,0.361,0.281,0.358,0.297,0.698,2,STARLINK
262,1409.01,-105.5,4.64,0.5481,0.4568,0.0391,0.372,0.286,0.342,0.28,0.688,2,STARLINK
263,1692.82,-110.81,3.43,0.4952,0.4683,0.0115,0.366,0.283,0.351,0.294,0.697,2,STARLINK
264,1759.68,-106.59,-1.78,0.4613,0.4662,-0.0021,0.365,0.282,0.353,0.301,0.701,2,STARLINK
265,1561.27,-110.3,-0.14,0.4715,0.4678,0.0016,0.369,0.284,0.347,0.299,0.7,2,STARLINK
266,1943.99,-117.24,-1.09,0.4083,0.4499,-0.0179,0.361,0.281,0.358,0.309,0.705,2,STARLINK
267,1435.1,-111.31,2.06,0.495,0.4634,0.0135,0.371,0.286,0.343,0.293,0.696,2,STARLINK
268,1533.93,-114.52,2.11,0.475,0.4669,0.0035,0.369,0.285,0.346,0.298,0.699,2,STARLINK
269,1569.69,-110.18,4.6,0.5165,0.4818,0.0149,0.369,0.284,0.347,0.293,0.696,2,STARLINK
270,1716.24,-109.9,-0.65,0.4594,0.4751,-0.0067,0.366,0.283,0.351,0.303,0.702,2,STARLINK
271,1234.47,-101.84,1.0,0.5404,0.4947,0.0196,0.375,0.288,0.337,0.29,0.694,2,STARLINK
272,1573.97,-108.17,-2.2,0.4611,0.4846,-0.0101,0.369,0.284,0.347,0.305,0.703,2,STARLINK
273,1350.52,-108.37,0.44,0.4979,0.4886,0.004,0.373,0.286,0.341,0.298,0.699,2,STARLINK
274,1151.1,-103.72,3.03,0.5557,0.5087,0.0201,0.377,0.288,0.335,0.29,0.694,2,STARLINK
275,1316.84,-114.11,5.69,0.5232,0.5131,0.0044,0.374,0.287,0.34,0.298,0.699,2,STARLINK
276,1226.44,-106.1,1.61,0.5267,0.5171,0.0041,0.375,0.288,0.337,0.298,0.699,2,STARLINK
277,1055.47,-103.08,4.11,0.5744,0.5343,0.0172,0.379,0.289,0.332,0.291,0.695,2,STARLINK
278,1104.78,-110.26,3.34,0.5303,0.5331,-0.0012,0.378,0.289,0.333,0.301,0.7,2,STARLINK
279,985.19,-101.32,6.47,0.6094,0.556,0.0229,0.38,0.29,0.33,0.289,0.693,2,STARLINK
280,1008.58,-103.96,9.0,0.6201,0.5752,0.0192,0.38,0.29,0.33,0.29,0.694,2,STARLINK
281,1039.32,-106.5,2.7,0.5455,0.5663,-0.0089,0.379,0.29,0.331,0.304,0.703,2,STARLINK
282,1126.26,-104.11,2.26,0.5479,0.5608,-0.0055,0.377,0.289,0.334,0.303,0.702,2,STARLINK
283,650.93,-94.05,8.18,0.6792,0.5963,0.0355,0.387,0.293,0.32,0.282,0.689,2,STARLINK
284,1104.72,-105.28,4.74,0.5673,0.5876,-0.0087,0.378,0.289,0.333,0.304,0.703,2,STARLINK
285,440.03,-96.45,10.0,0.6964,0.6202,0.0326,0.391,0.296,0.313,0.284,0.69,2,STARLINK
286,658.07,-102.34,7.22,0.6293,0.6229,0.0027,0.387,0.293,0.32,0.299,0.699,2,STARLINK
287,717.0,-104.32,4.98,0.5948,0.6145,-0.0084,0.386,0.293,0.322,0.304,0.703,2,STARLINK
288,618.75,-97.9,7.47,0.6553,0.6267,0.0122,0.388,0.294,0.319,0.294,0.696,2,STARLINK
289,430.98,-99.57,9.63,0.678,0.6421,0.0154,0.391,0.296,0.313,0.292,0.695,2,STARLINK
290,440.89,-97.0,9.0,0.6838,0.6546,0.0125,0.391,0.296,0.313,0.294,0.696,2,STARLINK
291,345.84,-96.37,8.94,0.6911,0.6656,0.0109,0.393,0.297,0.31,0.295,0.697,2,STARLINK
292,279.01,-91.49,10.0,0.7289,0.6846,0.019,0.394,0.297,0.308,0.29,0.694,2,STARLINK
293,442.44,-96.24,9.68,0.6942,0.6875,0.0029,0.391,0.296,0.313,0.299,0.699,2,STARLINK
294,316.11,-90.98,10.0,0.7296,0.7001,0.0126,0.394,0.297,0.309,0.294,0.696,0,LORA
295,106.14,-85.43,10.0,0.7676,0.7203,0.0203,0.398,0.299,0.303,0.29,0.694,0,LORA
296,292.52,-94.18,7.91,0.6943,0.7125,-0.0078,0.394,0.297,0.309,0.304,0.702,0,LORA
297,151.16,-90.13,9.39,0.7359,0.7195,0.007,0.397,0.298,0.305,0.296,0.698,0,LORA
298,174.46,-89.87,10.0,0.7422,0.7263,0.0068,0.397,0.298,0.305,0.297,0.698,0,LORA
299,94.44,-81.68,7.8,0.7649,0.7379,0.0116,0.398,0.299,0.303,0.294,0.697,0,LORA
