timestamp,seq_num,RSSI_dBm,SNR_dB,P_LoRa,state_label,packet_status,radiation_wm2
2026-06-01 17:12:36,91,-22,79,0.9998,LORA,OK,1
2026-06-01 17:12:38,92,-23,78,0.9998,LORA,OK,1
2026-06-01 17:12:40,93,-22,79,0.9998,LORA,OK,1
2026-06-01 17:12:42,94,-22,79,0.9998,LORA,OK,1
2026-06-01 17:12:44,95,-21,80,0.9998,LORA,OK,1
2026-06-01 17:12:46,96,-21,80,0.9998,LORA,OK,1
2026-06-01 17:12:48,97,-23,78,0.9998,LORA,OK,1
2026-06-01 17:12:50,98,-21,80,0.9998,LORA,OK,1
2026-06-01 17:12:52,99,-22,79,0.9998,LORA,OK,1
2026-06-01 17:12:54,100,-23,78,0.9998,LORA,OK,1
2026-06-01 17:12:56,101,-22,79,0.9998,LORA,OK,1
2026-06-01 17:12:58,102,-22,79,0.9998,LORA,OK,1
2026-06-01 17:13:00,103,-22,79,0.9998,LORA,OK,1
2026-06-01 17:13:02,104,-21,80,0.9998,LORA,OK,1
2026-06-01 17:13:04,105,-23,79,0.9998,LORA,OK,1
2026-06-01 17:13:06,106,-22,80,0.9998,LORA,OK,1
2026-06-01 17:13:09,107,-22,80,0.9998,LORA,OK,1
2026-06-01 17:13:10,108,-22,80,0.9998,LORA,OK,1
2026-06-01 17:13:12,109,-25,77,0.9998,LORA,OK,1
2026-06-01 17:13:14,110,-23,79,0.9998,LORA,OK,1
2026-06-01 17:13:16,111,-22,80,0.9998,LORA,OK,1
2026-06-01 17:13:19,112,-22,80,0.9998,LORA,OK,1
2026-06-01 17:13:20,113,-22,80,0.9998,LORA,OK,1
2026-06-01 17:13:22,114,-21,81,0.9998,LORA,OK,1
2026-06-01 17:13:24,115,-22,80,0.9998,LORA,OK,1
2026-06-01 17:13:26,116,-23,79,0.9998,LORA,OK,1
2026-06-01 17:13:28,117,-23,79,0.9998,LORA,OK,1
2026-06-01 17:13:30,118,-20,82,0.9998,LORA,OK,1
2026-06-01 17:13:32,119,-22,80,0.9998,LORA,OK,1
2026-06-01 17:13:34,120,-22,65,0.9998,LORA,OK,1
2026-06-01 17:13:36,121,-22,65,0.9998,LORA,OK,1
2026-06-01 17:13:38,122,-21,66,0.9998,LORA,OK,1
